ID,Break,Sync,Data,Checksum,Count,Timestamps
0x6A,,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,99,"107968,257975,407965,557967,707967,857973,1007960,1157960,1307960,1457995,1607959,1757960,1907960,2057967,2207980,2357949,2507949,2657957,2807952,2957952,3107952,3257960,3407945,3557945,3707942,3857949,4007945,4157937,4307937,4457944,4607960,4757934,4907937,5057944,5207937,5357952,5507929,5657937,5807927,5957929,6107927,6257937,6407929,6557922,6707945,6857952,7007919,7157934,7307934,7457929,7607922,7757914,7907914,8057921,8207914,8357914,8507914,8657922,8807912,8957903,9107903,9257914,9407906,9557919,9707904,9857990,10007922,10157914,10307914,10457929,10607914,10757914,10907914,11057922,11207891,11357929,11507906,11657914,11807904,11957883,12107891,12257891,12407883,12557883,12707883,12857891,13007883,13157876,13307876,13457883,13607881,13757873,13907872,14057896,14207873,14357891,14507891,14657899,14807911"
0x6A,0x00,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,3,"2352,5184,5982"
0x80,,0x55,,0x00,75,"162988,312988,462975,912988,1062968,1212982,1362990,1512982,1662965,1812972,2112991,2262968,2412988,2562988,2862960,3012967,3162998,3312967,3612968,3762998,4062952,4212960,4362975,4513113,4812960,5262937,5412945,5562949,5712945,5862937,6312942,6462937,6612942,6762942,6912960,7512937,7662929,7812937,7962945,8113099,8262914,8562937,8712926,8862934,9012934,9162929,9312952,9462922,9612945,9762922,9912922,10062914,10212914,10362927,10662906,10812914,11112906,11412906,11562914,11862896,12162906,12312906,12612906,12912922,13062906,13212899,13362904,13512899,13662912,13812891,14112945,14262883,14412888,14562899,14712914"
0x80,,0x55,,0xFF,24,"13003,612983,762983,1962975,2712975,3462952,3912960,4662944,4962960,5112983,6012952,6162952,7062929,7212945,7362937,8412935,10513026,10962914,11262899,11712914,12012906,12462899,12762929,13962914"
0x80,0x00,0x55,,0x00,2,"656,3548"
0x8E,,0x55,"0x60,0x7F",0x91,99,"142983,292983,442972,592991,742982,892983,1042958,1192980,1342975,1492975,1642965,1792995,1942973,2092980,2242960,2392975,2542975,2692972,2842957,2993003,3142968,3292983,3442952,3592968,3742960,3892950,4042965,4192982,4342972,4492960,4642967,4792960,4942952,5092952,5242945,5392952,5542957,5692949,5842937,5992945,6142945,6292942,6442934,6592945,6742934,6892942,7042929,7192945,7342942,7492937,7642921,7792934,7942952,8092929,8242922,8392937,8542952,8692929,8842912,8992929,9142942,9292922,9442914,9592929,9742919,9892914,10042906,10192922,10342919,10492911,10642906,10792914,10942911,11092914,11242899,11392911,11542903,11692906,11842899,11992911,12142929,12292919,12442881,12593057,12742896,12892914,13042891,13192899,13342911,13492914,13642881,13792899,13942934,14092904,14242904,14392891,14542903,14692912,14842899"
0x8E,0x00,0x55,"0x60,0x7F",0x91,2,"3062,6697"
0x9C,,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,99,"23029,173003,322991,472983,623059,772983,922983,1072972,1222988,1372991,1522975,1672991,1822998,1972975,2122998,2273036,2422967,2572982,2722968,2872957,3022975,3172967,3322980,3472960,3622965,3772965,3922960,4072952,4222957,4372960,4522983,4672975,4822952,4972960,5122983,5272965,5422980,5572952,5722952,5872937,6022942,6172937,6322942,6472934,6622945,6772944,6922942,7072926,7222937,7372934,7522934,7672927,7822937,7972937,8122960,8272919,8422979,8572960,8722944,8872919,9022919,9172921,9322919,9472960,9622922,9772921,9922919,10072914,10222919,10372919,10522914,10672906,10822914,10972914,11122906,11272904,11422912,11572912,11722904,11872891,12022904,12172899,12322919,12472899,12622929,12772896,12922896,13072888,13222904,13372899,13522914,13672891,13822914,13972888,14122919,14272881,14422899,14572907,14722904"
0x9C,0x00,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,2,"838,3719"
0xAD,,0x55,,0x00,28,"122988,272983,1322982,2072967,3272975,3722983,4022983,4772975,5072942,5372952,5822952,6572944,6872937,7322937,7922960,8372929,9122945,10323026,10772914,11072906,11372927,11822906,12122945,12572922,12722922,12872891,13172896,13322899"
0xAD,,0x55,,0xFF,6,"1022982,3422967,7622937,7772937,12272896,13622906"
0xAD,0x00,0x55,,0x00,2,"2637,6268"
0xB1,,0x55,"0x0C,0x00",0x42,40,"77975,227972,377972,527968,677968,827967,977967,1127957,1277965,1427990,1577965,1727952,1877990,2027960,2177988,2327967,2477960,2627960,2777960,2927945,3077952,3227952,12227890,12377891,12527883,12677888,12827891,12977891,13127876,13277881,13427880,13577883,13727873,13877884,14027884,14177883,14327875,14477899,14627879,14777891"
0xB1,,0x55,"0xCC,0x00",0x81,20,"3377952,3527945,3677952,3827952,3977952,4127945,4277942,4427945,4577945,4727937,4877945,5027945,5177945,5327934,5477934,5628074,5777942,5927929,6077975,6227949"
0xB1,,0x55,"0x8C,0x00",0xC1,20,"6377945,6527944,6677944,6827975,6977965,7127934,7278021,7427945,7577942,7727929,7877960,8027937,8177960,8327929,8477914,8627914,8777914,8927927,9077914,9227913"
0xB1,,0x55,"0x4C,0x00",0x02,19,"9377914,9527899,9677906,9827914,9977906,10127899,10277906,10427906,10577906,10727891,10877904,11027899,11177898,11327891,11477899,11627914,11777914,11927883,12077888"
0xB1,0x00,0x55,"0x0C,0x00",0x42,3,"1849,4727,5499"
0xC1,,0x55,"0x00,0x10,0x00,0xFF",0x2E,99,"67975,217968,367959,517968,667975,817957,967960,1117960,1267967,1417952,1567952,1717952,1867968,2017952,2167952,2317960,2467981,2617945,2767945,2917941,3067960,3217945,3367942,3517945,3667949,3817937,3967937,4117934,4267952,4417937,4567935,4717929,4867942,5017929,5167934,5318034,5467980,5617929,5767945,5917945,6067937,6217922,6367919,6517936,6667929,6817937,6967922,7117937,7267952,7417914,7567912,7717914,7867922,8017912,8167906,8317906,8467922,8617904,8767906,8917906,9067914,9217899,9367899,9517899,9667914,9817898,9967899,10117899,10267906,10417891,10567891,10717888,10867906,11017891,11167891,11317891,11467919,11617906,11767883,11917914,12067891,12217881,12367883,12517876,12667891,12817880,12967881,13117879,13267884,13417873,13567873,13717873,13867883,14017873,14167873,14317859,14467876,14617867,14767868"
0xC1,0x00,0x55,"0x00,0x10,0x00,0xFF",0x2E,2,"1688,4549"
0xC4,,0x55,"0x01,0xFF",0x3A,95,"87968,237972,387960,537957,687957,837975,987960,1137960,1287958,1437965,1587952,1737949,1887950,2037968,2187952,2337952,2487945,2637960,2787945,2937945,3237960,3387944,3537937,3687937,3837952,3987934,4137936,4287937,4437957,4587952,4737929,4887937,5037945,5187927,5337937,5487927,5637937,5787922,5938056,6237937,6387921,6537952,6687934,6837944,6987937,7137935,7287952,7437929,7588014,7737929,7887914,8037919,8187929,8337921,8487922,8637922,8787914,8937918,9237975,9387899,9537896,9687899,9837906,9987899,10137891,10287891,10437906,10587891,10737891,10887891,11037929,11187891,11337883,11487883,11637914,11787906,12087881,12237891,12387876,12537876,12687876,12837891,12987872,13137872,13287873,13437883,13587873,13737875,13887873,14037883,14187859,14337868,14487867,14637876,14787868"
0xC4,,0x55,"0x11,0xFF",0x2A,4,"3087944,6087922,9087922,11937883"
0xC4,0x00,0x55,"0x01,0xFF",0x3A,3,"1963,4843,5613"
0xCA,,0x55,"0xFC,0x7F",0xB8,99,"47975,197968,347967,497960,647972,797968,947959,1097975,1247968,1397960,1547960,1697952,1847964,1997983,2147949,2297952,2447981,2597949,2747944,2897950,3048075,3197949,3347944,3497960,3647957,3797960,3947937,4097937,4247965,4397960,4547952,4698036,4847968,4997952,5147952,5297934,5447967,5597937,5747929,5897926,6047934,6197927,6347922,6497937,6647960,6797945,6947945,7097937,7247927,7397922,7547914,7697914,7847922,7997913,8147914,8297906,8447919,8597914,8747906,8897903,9047914,9197903,9347906,9497899,9647914,9797903,9947896,10097896,10247906,10397899,10547891,10697891,10847906,10997891,11147891,11297891,11447899,11597906,11747883,11897906,12047911,12197883,12347881,12497883,12647888,12797881,12947876,13097881,13247889,13397876,13547876,13697872,13847881,13997878,14147875,14297873,14447883,14597875,14747868"
0xCA,0x00,0x55,"0xFC,0x7F",0xB8,2,"1447,4317"
0xCF,,0x55,"0x0C,0xFE",0x25,99,"137965,287968,437975,587960,737960,887960,1037991,1187958,1337960,1487960,1637965,1787952,1937952,2087968,2237967,2387952,2537952,2687952,2837957,2987950,3137942,3287942,3437952,3587945,3737945,3887959,4037952,4187937,4337934,4487937,4637945,4787937,4937929,5087929,5237942,5387952,5537929,5687929,5837945,5987929,6137922,6287922,6437957,6587929,6737919,6887922,7037935,7187914,7337914,7487913,7637929,7787914,7937914,8087914,8237945,8387906,8537906,8687906,8837921,8987906,9137906,9287906,9437911,9587899,9737896,9887899,10037914,10187899,10337899,10487891,10637904,10787891,10937888,11087891,11237929,11387891,11537891,11687906,11837896,11987888,12137922,12287899,12438006,12587883,12737883,12887899,13037891,13187891,13337876,13487890,13637883,13787889,13937891,14087875,14237881,14387875,14537867,14687867,14837876"
0xCF,0x00,0x55,"0x0C,0xFE",0x25,2,"2922,6583"
0xDD,,0x55,"0x00,0xFC",0x25,99,"147965,297967,447980,597965,747965,897960,1047976,1197960,1347960,1497960,1647968,1797975,1947952,2097981,2247967,2397952,2547952,2697952,2847957,2997950,3147944,3297942,3447960,3597944,3747942,3897942,4047949,4197945,4347937,4497937,4647945,4797937,4947937,5097929,5247942,5397960,5547926,5697929,5847937,5997926,6147927,6297927,6447934,6597945,6747942,6897919,7047952,7197937,7347914,7497914,7647929,7797921,7947912,8097914,8247921,8397914,8547906,8697906,8847919,8997906,9147903,9297906,9447919,9597904,9747899,9897896,10047914,10197899,10347899,10497896,10647906,10797899,10947891,11097888,11247898,11397919,11547888,11697914,11847896,11997891,12147899,12297883,12447896,12597888,12747883,12897876,13047889,13197881,13347879,13497872,13647888,13797881,13947870,14097873,14247881,14397872,14547866,14697867,14847876"
0xDD,0x00,0x55,"0x00,0xFC",0x25,3,"288,3176,6811"
0xE9,,0x55,,0x00,65,"417968,567965,717960,867973,1167960,1467968,1617952,1767952,1917952,2217950,2367952,2517952,2667960,2817945,2967944,3117942,3567945,3867950,4167937,4317937,4467944,4617937,4917929,5217929,5517927,5667937,5967929,6117927,6267937,6417937,6717922,7017922,7167934,7467929,8067921,8217929,8517906,8667922,8817906,8967906,9267914,9417899,9567899,9717895,9867914,10017896,10168003,10467904,10617891,10917888,11217891,11517906,11667896,11967880,12417883,13017881,13467884,13767891,13917873,14067899,14217883,14367859,14517867,14667876,14817881"
0xE9,,0x55,,0xFF,34,"117965,267975,1017960,1317960,2067967,3267960,3417945,3717945,4017937,4767937,5067944,5367949,5817929,6567952,6867929,7317914,7617911,7767914,7917914,8367914,9117906,10317899,10767891,11067906,11367904,11817945,12117906,12267891,12567899,12717884,12867891,13167879,13317876,13617872"
0xE9,0x00,0x55,,0x00,2,"2580,6210"
