ID,Break,Sync,Data,Checksum,Count,Timestamps
0x6A,,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,108,"30723,180730,330741,480718,630717,780710,930771,1080718,1230707,1380703,1530694,1680703,1830738,1980702,2130695,2280687,2430687,2580695,2730687,2880687,3030687,3180694,3330687,3480710,3630680,3780703,3930680,4080680,4230679,4380695,4530679,4680695,4830672,4980710,5130672,5280703,5430671,5580687,5730672,5880664,6030664,6180702,6330664,6480664,6630680,6780679,6930661,7080676,7230657,7380695,7530657,7680680,7830656,7980687,8130653,8280649,8430649,8580687,8730649,8880779,9030649,9180703,9330646,9480641,9630641,9780695,9930657,10080657,10230661,10380695,10530718,10680680,10830649,10980641,11130657,11280631,11430638,11580657,11730648,11880631,12030649,12180635,12330631,12480623,12630628,12780631,12930623,13080623,13230626,13380631,13530618,13680616,13830616,13980628,14130616,14280618,14430618,14580623,14730611,14880612,15030612,15180616,15330608,15480611,15630608,15780618,15930623,16080600"
0x6A,0x00,0x55,"0x24,0xA0,0x00,0x00,0x00,0xFF,0xFF,0xFF",0xD0,2,"292,3212"
0x80,,0x55,"0x80,0xFF",0xFE,103,"85725,235723,385741,535726,685717,835741,985725,1135746,1285748,1435749,1585725,1735740,1885740,2035738,2185718,2335741,2485715,2635960,2785695,2935741,3085710,3385733,3535733,3685730,3835737,3985687,4135703,4285702,4435695,4585684,4735733,4885695,5035718,5185700,5335738,5485687,5635710,5785702,5935741,6085718,6235710,6535710,6685703,6835679,6985680,7135710,7285702,7435703,7585695,7735702,7885677,8035703,8185664,8335672,8485700,8635764,8785672,8935687,9085664,9235656,9385654,9685695,9835692,9985679,10135687,10285687,10435657,10585671,10735684,10885687,11035657,11185664,11335649,11485680,11635649,11785672,11935649,12085664,12235649,12385631,12535646,12835646,12985631,13135641,13285641,13435717,13585657,13735657,13885764,14035656,14185641,14335672,14485664,14635725,14785615,14935623,15085631,15235631,15385616,15535631,15685631,15835687,15985611"
0x80,,0x55,"0x88,0xFF",0xF6,4,"3235748,6385687,9535679,12685649"
0x80,0x00,0x55,"0x80,0xFF",0xFE,3,"1508,4357,6173"
0x8E,,0x55,"0x60,0x7F",0x91,107,"65726,215723,365710,515726,665722,815741,965733,1115740,1265710,1415741,1565702,1715761,1865717,2015833,2165733,2315753,2465741,2615753,2765710,2915749,3065746,3215733,3365703,3515703,3665710,3815726,3965684,4115722,4265715,4415695,4565718,4715710,4865687,5015717,5165676,5315738,5465707,5615717,5765687,5915715,6065710,6215710,6365703,6515715,6665700,6815680,6965692,7115707,7265680,7415702,7565687,7715695,7865677,8015695,8165664,8315702,8465676,8615710,8765679,8915672,9065700,9215685,9365656,9515672,9665685,9815657,9965679,10115687,10265687,10415656,10565664,10715662,10865680,11015680,11165641,11315702,11465677,11615786,11765684,11915695,12065687,12215692,12365680,12515692,12665641,12815641,12965630,13115672,13265771,13415680,13565677,13715650,13865661,14015664,14165626,14315657,14465634,14615634,14765624,14915631,15065630,15215631,15365611,15515628,15665627,15815623,15965611"
0x8E,0x00,0x55,"0x60,0x7F",0x91,3,"1025,3901,5712"
0x8E,,0x55,,0x60,1,16115623
0x9C,,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,101,"95726,245726,545726,695726,845733,1145741,1445702,1595733,1745733,2045741,2195730,2345733,2495733,2645733,2795695,2945726,3095718,3245708,3395695,3545700,3695699,3845715,3995731,4145725,4295684,4445726,4595684,4745695,4895718,5045707,5195680,5345688,5495715,5645702,5795703,5945712,6095715,6245710,6395672,6545695,6695680,6845692,6995694,7145693,7295702,7445704,7595668,7745703,7895676,8045672,8195664,8345687,8495703,8645669,8795680,8945669,9095680,9245664,9395656,9545687,9695664,9845687,9995639,10145687,10295657,10445684,10595649,10745684,10895654,11045680,11195646,11345679,11495649,11645677,11795641,11945673,12095647,12245672,12395635,12545669,12695643,12845657,12995631,13295641,13445670,13595658,13745664,13895662,14045635,14195754,14345634,14495653,14795638,14945646,15095634,15245635,15395615,15545627,15695627,15845631,15995646"
0x9C,,0x55,"0x00,0x00,0x2A,0x10,0xE0,0xFF,0x3F,0x35",0xD3,6,"395715,995733,1295741,1895738,13145664,14645679"
0x9C,0x00,0x55,"0x00,0x00,0x2B,0x10,0xE0,0xFF,0x3F,0x35",0xD2,3,"1750,4587,6402"
0xAD,,0x55,,0x00,19,"195718,1995733,3645695,4095726,4545710,4995710,6795672,7995672,8745687,9345749,9945657,10095664,10245657,10845680,11445649,12645664,13395631,13995623,15945623"
0xAD,,0x55,,0xFF,7,"5895710,6345687,6495710,7545677,8295672,9195680,15645623"
0xAD,0x00,0x55,,0x00,2,"598,3499"
0xB1,,0x55,"0x0C,0x00",0x42,107,"150726,300710,450700,600710,750725,900710,1050718,1200702,1350702,1500733,1650692,1800733,1950725,2100702,2250687,2400695,2550695,2700710,2850684,3000695,3150695,3300695,3450680,3600710,3750687,3900718,4050676,4200710,4350684,4500684,4650672,4800684,4950680,5100710,5250669,5400687,5550677,5700695,5850664,6000672,6150672,6300672,6450662,6600672,6750687,6900669,7050657,7200695,7350664,7500692,7650657,7800703,7950779,8100710,8250687,8400695,8550656,8700687,8850649,9000679,9150656,9300653,9450679,9600680,9750649,9900676,10050656,10200649,10350646,10500672,10650654,10800641,10950641,11100641,11250630,11400635,11550664,11700649,11850631,12000635,12150653,12300635,12450641,12600630,12750631,12900631,13050623,13200631,13350631,13500646,13650618,13800623,13950623,14100623,14250611,14400618,14550618,14700618,14850631,15000618,15150616,15300616,15450603,15600611,15750624,15900611,16050600"
0xB1,0x00,0x55,"0x0C,0x00",0x42,2,"2809,7355"
0xC1,,0x55,"0x00,0x10,0x00,0xFF",0x2E,107,"140702,290703,440695,590710,740695,890695,1040694,1190702,1340695,1490695,1640687,1790749,1940710,2090687,2240687,2390695,2540684,2690684,2840680,2990695,3140680,3290679,3440695,3590687,3740680,3890680,4040699,4190687,4340702,4490672,4640687,4790680,4940669,5090672,5240687,5390679,5540695,5690664,5840680,5990672,6140661,6290664,6440657,6590672,6740656,6890672,7040672,7190669,7340702,7490654,7640756,7790679,7940694,8090649,8240672,8390661,8540671,8690646,8840672,8990672,9140669,9290641,9440657,9590664,9740664,9890638,10040664,10190664,10340635,10490638,10640631,10790664,10940631,11090630,11240630,11390641,11540631,11690631,11840641,11990656,12140623,12290641,12440623,12590649,12740618,12890626,13040616,13190631,13340616,13490616,13640618,13790627,13940611,14090611,14240635,14390623,14540608,14690608,14840611,14990618,15140603,15290603,15440604,15590618,15740604,15890616,16040603"
0xC1,0x00,0x55,"0x00,0x10,0x00,0xFF",0x2E,2,"2631,7203"
0xC4,,0x55,,0x00,84,"160710,310695,460695,610695,910694,1060692,1360702,1510687,1660687,2260687,2560702,2710680,2860679,3010680,3310679,3460702,3610677,3760707,3910672,4060672,4360710,4660695,4960687,5110664,5260677,5410664,5560703,5710664,5860695,6010661,6160684,6310657,6460657,6760687,7060672,7210654,7360692,7510649,7660680,7810649,7960741,8110649,8260756,8410664,8560725,8710646,8860679,9010641,9160680,9310657,9460684,9610641,9760677,9910638,10210635,10360672,10510641,10810631,11110649,11260631,11410631,11560641,11710641,11860623,12010641,12310641,12460618,12610618,12760635,12910616,13360631,13510618,13660611,13810611,14110612,14560624,14710610,14860603,15010603,15160616,15310618,15460600,15760631,15910616"
0xC4,,0x55,,0xFF,24,"10703,760707,1210692,1810733,1960700,2110687,2410684,3160692,4210672,4510672,4810669,6610656,6910656,10060635,10660631,10960641,12160664,13060616,13210615,13960623,14260608,14410612,15610604,16060623"
0xC4,0x00,0x55,,0x00,1,2927
0xCA,,0x55,"0xFC,0x7F",0xB8,107,"120703,270699,420722,570725,720702,870694,1020694,1170707,1320700,1470710,1620695,1770707,1920718,2070688,2220687,2370700,2520694,2670684,2820687,2970694,3120687,3270680,3420710,3570692,3720703,3870680,4020700,4170692,4320702,4470672,4620695,4770702,4920695,5070688,5220679,5370680,5520699,5670672,5820687,5970680,6120687,6270664,6420661,6570672,6720680,6870680,7020733,7170687,7320702,7470654,7620679,7770665,7920680,8070649,8220646,8370661,8520680,8670649,8820672,8970664,9120677,9270641,9420641,9570671,9720646,9870641,10020664,10170649,10320670,10470635,10620634,10770664,10920664,11070634,11220630,11370664,11520634,11670646,11820646,11970656,12120630,12270641,12420623,12570653,12720623,12870623,13020618,13170631,13320623,13470616,13620619,13770631,13920616,14070611,14220641,14370623,14520616,14670612,14820608,14970623,15120608,15270603,15420603,15570623,15720641,15870600,16020600"
0xCA,0x00,0x55,"0xFC,0x7F",0xB8,3,"2363,5160,6976"
0xCF,,0x55,"0x0C,0xFE",0x25,108,"60703,210700,360710,510703,660702,810695,960710,1110717,1260718,1410692,1560748,1710738,1860833,2010687,2160703,2310710,2460718,2610703,2760740,2910687,3060703,3210680,3360718,3510679,3660679,3810680,3960718,4110680,4260672,4410672,4560710,4710671,4860695,5010672,5160710,5310672,5460672,5610664,5760702,5910672,6060664,6210664,6360672,6510662,6660657,6810680,6960672,7110657,7260672,7410656,7560694,7710654,7860649,8010657,8160718,8310649,8460687,8610657,8760710,8910646,9060641,9210654,9360656,9510641,9660669,9810641,9960687,10110656,10260664,10410635,10560672,10710638,10860638,11010649,11160664,11310649,11460741,11610649,11760676,11910664,12060641,12210661,12360656,12510661,12660626,12810656,12960631,13110733,13260664,13410635,13560631,13710616,13860618,14010611,14160646,14310610,14460612,14610608,14760624,14910608,15060611,15210611,15360618,15510603,15660604,15810631,15960631,16110600"
0xCF,0x00,0x55,"0x0C,0xFE",0x25,3,"904,3783,5598"
0xDD,,0x55,"0x00,0xFC",0x25,107,"70718,220702,370710,520702,670700,820695,970710,1120722,1270695,1420695,1570730,1720717,1870717,2020687,2170825,2320718,2470687,2620703,2770715,2920710,3070704,3220687,3370710,3520687,3670679,3820687,3970692,4120703,4270677,4420700,4570687,4720699,4870669,5020695,5170684,5320719,5470669,5620687,5770679,5920669,6070680,6220664,6370672,6520695,6670658,6820672,6970672,7120681,7270656,7420676,7570669,7720687,7870650,8020679,8170664,8320680,8470649,8620677,8770664,8920676,9070646,9220646,9370657,9520672,9670646,9820664,9970649,10120641,10270638,10420664,10570649,10720665,10870634,11020631,11170641,11320634,11470649,11620649,11770769,11920649,12070664,12220647,12370672,12520646,12670623,12820623,12970634,13120623,13270618,13420754,13570649,13720638,13870631,14020631,14170672,14320616,14470611,14620612,14770620,14920616,15070608,15220611,15370616,15520608,15670615,15820611,15970635"
0xDD,0x00,0x55,"0x00,0xFC",0x25,3,"1146,4015,5826"
0xE9,,0x55,,0x00,82,"40717,340703,490718,640718,790725,940702,1090710,1240763,1390703,1540715,1690718,1840730,2140687,2290687,2440687,2590695,2740710,2890687,3040680,3190694,3340702,3490679,3790687,3940695,4240702,4390687,4690671,4840695,5140695,5290687,5440692,5590679,5740695,6040687,6190692,6640677,6940657,7090657,7240680,7390664,7690657,7840679,8140679,8440672,8590657,8890646,9040672,9490641,9640664,9790672,10390648,10540653,10690657,10990664,11140656,11290630,11590657,11740646,11890649,12040628,12190657,12340623,12490641,12790649,12940618,13090618,13240616,13540616,13690618,13840616,14140618,14290611,14440612,14590623,14740608,14890611,15040611,15190616,15340603,15490603,15790631,16090627"
0xE9,,0x55,,0xFF,26,"190748,1990702,3640692,4090680,4540691,4990680,5890672,6340661,6490661,6790687,7540680,7990664,8290649,8740672,9190771,9340641,9940687,10090649,10240635,10840741,11440630,12640626,13390631,13990623,15640604,15940618"
0xE9,0x00,0x55,,0x00,2,"537,3442"
