Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.354342,813,0,0,8,2,38,2,38,1,168,86,0
0.362687,948,0,0,8,121,239,48,0,0,0,66,0
0.363695,962,0,0,8,1,0,0,0,0,0,0,112
0.364396,738,0,0,4,0,0,0,0,,,,
0.365342,973,0,0,8,64,0,48,240,252,48,207,63
0.366272,992,0,0,8,1,84,53,76,78,51,52,48
0.367229,1003,0,0,8,67,232,15,80,10,80,10,100
0.368158,918,0,0,8,217,152,1,70,253,111,253,111
0.369084,914,0,0,8,217,152,1,70,253,111,253,111
0.372484,802,0,0,8,2,72,0,0,55,255,255,255
0.373461,906,0,0,8,5,0,0,0,0,0,72,35
0.374411,1002,0,0,8,65,68,62,9,160,196,131,237
0.377043,299,0,0,1,3,,,,,,,
0.377547,559,0,0,1,0,,,,,,,
0.378756,579,0,0,6,0,0,0,0,0,0,,
0.379933,755,0,0,8,0,0,0,0,0,0,0,0
0.380931,915,0,0,8,0,0,0,0,0,0,0,0
0.381939,769,0,0,8,0,0,0,0,0,0,0,0
0.382932,770,0,0,8,0,2,0,0,8,0,0,0
0.383610,781,0,0,4,0,0,0,0,,,,
0.384477,783,0,0,7,5,10,10,10,10,106,1,
0.385403,818,0,0,8,0,80,216,80,100,9,255,25
0.386379,791,0,0,8,0,0,0,0,0,64,2,0
0.386986,815,0,0,3,200,0,0,,,,,
0.387986,729,0,0,8,0,0,0,108,0,0,0,0
0.388963,827,0,0,8,42,255,2,233,0,0,0,0
0.389732,834,0,0,5,0,0,0,0,0,,,
0.390669,848,0,0,8,54,46,12,7,233,11,13,1
0.391657,855,0,0,8,0,0,0,0,0,0,0,0
0.392619,897,0,0,8,181,77,62,96,0,4,0,0
0.393537,876,0,0,8,84,29,47,93,96,139,120,75
0.394522,767,0,0,8,0,142,0,0,255,255,255,255
0.395506,896,0,0,8,0,132,240,192,0,0,0,0
0.396507,792,0,0,8,0,0,0,0,0,0,255,0
0.397433,908,0,0,8,233,7,11,13,17,46,0,53
0.398320,923,0,0,8,246,27,47,93,117,139,120,75
0.399266,1000,0,0,8,81,53,162,123,0,11,142,12
