Timestamp_s,ID,Extended,RTR,Length,D0,D1,D2,D3,D4,D5,D6,D7
0.228568,707,0,0,8,0,0,0,0,0,0,255,0
0.229565,729,0,0,8,0,0,0,108,0,0,0,0
0.230566,812,0,0,8,0,0,0,0,0,0,0,0
0.231535,990,0,0,8,190,30,30,0,3,97,209,2
0.232505,995,0,0,8,253,12,16,65,33,32,0,0
0.238472,760,0,0,8,255,255,255,0,32,37,40,0
0.239268,978,0,0,4,23,24,176,0,,,,
0.246356,752,0,0,2,1,0,,,,,,
0.248142,290,0,0,4,4,2,0,0,,,,
0.249114,810,0,0,8,2,0,2,0,0,32,216,43
0.250043,918,0,0,8,217,152,1,70,253,111,253,111
0.250969,914,0,0,8,217,152,1,70,253,111,253,111
0.251937,946,0,0,8,64,0,102,0,0,255,255,0
0.258409,736,0,0,8,64,192,0,255,89,94,97,94
0.259240,930,0,0,6,0,10,30,1,0,1,,
0.260441,720,0,0,6,0,1,0,3,0,67,,
0.262408,915,0,0,8,0,0,0,0,0,0,0,0
0.268489,557,0,0,8,111,0,0,0,0,0,0,0
0.269498,729,0,0,8,0,0,0,108,0,0,0,0
0.270184,856,0,0,4,4,0,0,0,,,,
0.272677,761,0,0,2,0,0,,,,,,
0.277454,992,0,0,8,0,49,67,54,83,82,70,72
0.278541,690,0,0,8,255,255,255,0,20,4,255,0
0.279517,911,0,0,8,25,255,255,255,3,1,1,1
0.280828,727,0,0,8,32,0,0,0,0,0,0,0
0.288423,774,0,0,8,0,0,0,0,0,0,0,0
0.289389,802,0,0,8,2,73,0,0,55,255,255,255
0.290315,918,0,0,8,217,152,1,70,253,111,253,111
0.291245,914,0,0,8,217,152,1,70,253,111,253,111
0.293180,299,0,0,1,3,,,,,,,
0.298410,778,0,0,8,132,128,0,123,252,15,0,103
0.299379,984,0,0,8,1,0,100,250,4,35,0,0
0.302093,915,0,0,8,0,0,0,0,0,0,0,0
0.305810,754,0,0,3,0,0,0,,,,,
0.308554,767,0,0,8,0,143,0,0,255,255,255,255
0.309554,729,0,0,8,0,0,0,108,0,0,0,0
0.310554,792,0,0,8,0,0,0,0,0,0,255,0
0.312482,827,0,0,8,42,255,2,248,0,0,0,0
0.318623,590,0,0,8,255,255,16,0,0,0,90,90
0.319577,594,0,0,8,3,0,16,13,128,15,127,139
0.320570,726,0,0,8,0,0,0,0,0,0,0,0
0.321543,1025,0,0,8,253,3,4,15,0,0,0,1
0.328599,707,0,0,8,0,0,0,0,0,0,255,0
0.329525,918,0,0,8,217,152,1,70,253,111,253,111
0.330790,914,0,0,8,217,152,1,70,253,111,253,111
0.338088,706,0,0,4,19,136,146,0,,,,
0.342094,915,0,0,8,0,0,0,0,0,0,0,0
0.345511,838,0,0,2,0,0,,,,,,
0.348094,290,0,0,4,4,2,0,0,,,,
0.349059,562,0,0,8,255,69,0,255,0,0,0,0
0.350060,729,0,0,8,0,0,0,108,0,0,0,0
0.353006,448,0,0,6,0,0,0,128,0,4,,
0.369364,918,0,0,8,217,152,1,70,253,111,253,111
0.370797,914,0,0,8,217,152,1,70,253,111,253,111
0.377315,992,0,0,8,1,84,53,76,78,51,52,48
0.378570,1098,0,0,8,1,0,0,0,0,0,0,224
0.382704,915,0,0,8,0,0,0,0,0,0,0,0
0.388378,802,0,0,8,2,73,0,0,55,255,255,255
0.389371,1100,0,0,8,113,0,0,0,0,0,0,0
0.390367,729,0,0,8,0,0,0,108,0,0,0,0
0.392671,299,0,0,1,3,,,,,,,
0.398544,947,0,0,8,113,114,66,251,229,183,255,80
0.408497,767,0,0,8,0,143,0,0,255,255,255,255
0.409506,792,0,0,8,0,0,0,0,0,0,255,0
0.410432,918,0,0,8,217,152,1,70,253,111,253,111
0.411358,914,0,0,8,217,152,1,70,253,111,253,111
0.412461,827,0,0,8,42,255,2,248,0,0,0,0
0.413454,1027,0,0,8,253,4,63,255,255,255,255,255
0.418607,590,0,0,8,255,255,16,0,0,0,90,90
0.419557,594,0,0,8,3,0,16,13,128,15,127,139
0.422350,915,0,0,8,0,0,0,0,0,0,0,0
0.428548,707,0,0,8,0,0,0,0,0,0,255,0
0.429556,729,0,0,8,0,0,0,108,0,0,0,0
0.430541,735,0,0,8,132,0,0,0,0,0,0,0
0.448084,290,0,0,4,4,2,0,0,,,,
0.449403,918,0,0,8,217,152,1,70,253,111,253,111
0.450828,914,0,0,8,217,152,1,70,253,111,253,111
0.458395,736,0,0,8,64,192,0,255,89,94,97,94
0.462707,915,0,0,8,0,0,0,0,0,0,0,0
0.469458,729,0,0,8,0,0,0,108,0,0,0,0
0.477924,992,0,0,8,2,52,49,57,0,0,0,0
0.478889,690,0,0,8,255,255,255,0,20,4,255,0
0.480880,727,0,0,8,32,0,0,0,0,0,0,0
0.488393,802,0,0,8,2,84,0,0,55,255,255,255
0.489393,918,0,0,8,217,152,1,70,253,111,253,111
0.490873,914,0,0,8,217,152,1,70,253,111,253,111
0.492731,299,0,0,1,3,,,,,,,
0.502407,915,0,0,8,0,0,0,0,0,0,0,0
0.503399,1028,0,0,8,253,5,191,255,255,255,255,255
0.508532,767,0,0,8,0,143,0,0,255,255,255,255
0.509535,729,0,0,8,0,0,0,108,0,0,0,0
0.510535,792,0,0,8,0,0,0,0,0,0,255,0
0.511382,798,0,0,6,0,64,0,192,0,0,,
0.512445,827,0,0,8,42,255,2,248,0,0,0,0
0.518605,590,0,0,8,255,255,16,0,0,0,90,90
0.519597,726,0,0,8,0,0,0,0,0,0,0,0
0.520543,594,0,0,8,3,0,16,13,128,15,127,139
0.522412,560,0,0,8,3,54,54,8,0,0,0,0
0.528615,707,0,0,8,0,0,0,0,0,0,255,0
0.529542,918,0,0,8,217,152,1,70,253,111,253,111
0.530829,914,0,0,8,217,152,1,70,253,111,253,111
0.538216,706,0,0,4,19,136,146,0,,,,
0.542804,915,0,0,8,0,0,0,0,0,0,0,0
0.548099,290,0,0,4,4,2,0,0,,,,
0.549068,562,0,0,8,255,69,0,255,0,0,0,0
0.550065,729,0,0,8,0,0,0,108,0,0,0,0
0.554403,448,0,0,6,0,0,0,128,0,4,,
0.569460,918,0,0,8,217,152,1,70,253,111,253,111
0.570842,914,0,0,8,217,152,1,70,253,111,253,111
0.577816,992,0,0,8,0,49,67,54,83,82,70,72
0.582427,915,0,0,8,0,0,0,0,0,0,0,0
0.588368,802,0,0,8,2,73,0,0,55,255,255,255
0.589495,729,0,0,8,0,0,0,108,0,0,0,0
0.592542,299,0,0,1,3,,,,,,,
0.601215,1029,0,0,8,253,10,191,255,255,255,255,255
0.608515,767,0,0,8,0,143,0,0,255,255,255,255
0.609524,792,0,0,8,0,0,0,0,0,0,255,0
0.610450,918,0,0,8,217,152,1,70,253,111,253,111
0.611376,914,0,0,8,217,152,1,70,253,111,253,111
0.612408,827,0,0,8,42,255,2,248,0,0,0,0
0.618659,590,0,0,8,255,255,16,0,0,0,90,90
0.619609,594,0,0,8,3,0,16,13,128,15,127,139
0.622511,915,0,0,8,0,0,0,0,0,0,0,0
0.628511,707,0,0,8,0,0,0,0,0,0,255,0
0.629518,729,0,0,8,0,0,0,108,0,0,0,0
0.638558,917,0,0,8,3,255,7,255,0,0,240,0
0.648126,290,0,0,4,4,2,0,0,,,,
0.649519,918,0,0,8,217,152,1,70,253,111,253,111
0.650912,914,0,0,8,217,152,1,70,253,111,253,111
0.658428,584,0,0,8,0,0,255,255,255,3,255,255
0.659366,736,0,0,8,64,192,0,255,89,94,97,94
0.659909,825,0,0,2,0,90,,,,,,
0.662147,915,0,0,8,0,0,0,0,0,0,0,0
0.668214,456,0,0,4,0,0,0,0,,,,
0.669217,762,0,0,8,0,1,0,24,0,0,0,0
0.670740,729,0,0,8,0,0,0,108,0,0,0,0
0.674653,992,0,0,8,1,84,53,76,78,51,52,48
0.678500,690,0,0,8,255,255,255,0,20,4,255,0
0.680954,727,0,0,8,32,0,0,0,0,0,0,0
0.688404,802,0,0,8,2,62,0,0,55,255,255,255
0.689463,918,0,0,8,217,152,1,70,253,111,253,111
0.690912,914,0,0,8,217,152,1,70,253,111,253,111
0.692805,1034,0,0,8,253,44,191,255,255,255,255,255
0.693272,299,0,0,1,3,,,,,,,
0.694303,855,0,0,8,0,0,0,0,0,0,0,0
0.698445,818,0,0,8,0,80,216,80,98,9,255,25
0.702390,915,0,0,8,0,0,0,0,0,0,0,0
0.708500,767,0,0,8,0,143,0,0,255,255,255,255
0.709508,792,0,0,8,0,0,0,0,0,0,255,0
0.710508,729,0,0,8,0,0,0,108,0,0,0,0
0.712405,827,0,0,8,42,255,2,248,0,0,0,0
0.718642,590,0,0,8,255,255,16,0,0,0,90,90
0.719635,726,0,0,8,0,0,0,0,0,0,0,0
0.720582,594,0,0,8,3,0,16,13,128,15,127,139
0.728531,707,0,0,8,0,0,0,0,0,0,255,0
0.729485,918,0,0,8,217,152,1,70,253,111,253,111
0.731027,914,0,0,8,217,152,1,70,253,111,253,111
0.738215,706,0,0,4,19,136,147,0,,,,
0.743035,915,0,0,8,0,0,0,0,0,0,0,0
0.747418,752,0,0,2,1,0,,,,,,
0.748162,290,0,0,4,4,2,0,0,,,,
0.749132,562,0,0,8,255,69,0,255,0,0,0,0
0.750132,729,0,0,8,0,0,0,108,0,0,0,0
0.752305,448,0,0,6,0,0,0,128,0,4,,
0.759372,720,0,0,6,0,1,0,3,0,67,,
0.769481,918,0,0,8,217,152,1,70,253,111,253,111
0.770898,914,0,0,8,217,152,1,70,253,111,253,111
0.772409,761,0,0,2,0,0,,,,,,
0.773515,860,0,0,6,0,0,16,64,20,0,,
0.774688,992,0,0,8,2,52,49,57,0,0,0,0
0.778480,778,0,0,8,132,128,0,124,252,15,0,103
0.782440,915,0,0,8,0,0,0,0,0,0,0,0
0.787158,1068,0,0,8,253,58,63,255,255,255,255,255
0.788414,802,0,0,8,2,78,0,0,55,255,255,255
0.789553,729,0,0,8,0,0,0,108,0,0,0,0
0.792542,299,0,0,1,3,,,,,,,
0.799109,830,0,0,2,0,0,,,,,,
0.808518,767,0,0,8,0,143,0,0,255,255,255,255
0.809527,792,0,0,8,0,0,0,0,0,0,255,0
0.810452,918,0,0,8,217,152,1,70,253,111,253,111
0.811383,914,0,0,8,217,152,1,70,253,111,253,111
0.812371,827,0,0,8,43,255,2,248,0,0,0,0
0.818589,590,0,0,8,255,255,16,0,0,0,90,90
0.819546,594,0,0,8,3,0,16,13,128,7,127,139
0.822978,915,0,0,8,0,0,0,0,0,0,0,0
0.828489,707,0,0,8,0,0,0,0,0,0,255,0
0.829554,729,0,0,8,0,0,0,108,0,0,0,0
0.831336,925,0,0,8,45,0,0,0,0,0,0,0
0.848088,290,0,0,4,4,2,0,0,,,,
0.849500,918,0,0,8,217,152,1,70,253,111,253,111
0.850995,914,0,0,8,217,152,1,70,253,111,253,111
0.858377,736,0,0,8,64,192,0,255,89,93,97,94
0.862481,915,0,0,8,0,0,0,0,0,0,0,0
0.869376,1082,0,0,8,253,62,191,255,255,255,255,255
0.870373,729,0,0,8,0,0,0,108,0,0,0,0
0.874655,992,0,0,8,0,49,67,54,83,82,70,72
0.878517,690,0,0,8,255,255,255,0,20,4,255,0
0.880995,727,0,0,8,32,0,0,0,0,0,0,0
0.888398,802,0,0,8,2,88,0,0,55,255,255,255
0.889508,918,0,0,8,217,152,1,70,253,111,253,111
0.890933,914,0,0,8,217,152,1,70,253,111,253,111
0.892785,299,0,0,1,3,,,,,,,
0.902937,915,0,0,8,0,0,0,0,0,0,0,0
0.908548,767,0,0,8,0,143,0,0,255,255,255,255
0.909552,792,0,0,8,0,0,0,0,0,0,255,0
0.910553,729,0,0,8,0,0,0,108,0,0,0,0
0.912344,827,0,0,8,43,255,2,248,0,0,0,0
0.918617,590,0,0,8,255,255,16,0,0,0,90,90
0.919570,594,0,0,8,3,0,16,13,128,15,127,139
0.920559,726,0,0,8,0,0,0,0,0,0,0,0
0.928570,707,0,0,8,0,0,0,0,0,0,255,0
0.929558,918,0,0,8,217,152,1,70,253,111,253,111
0.930945,914,0,0,8,217,152,1,70,253,111,253,111
0.938125,706,0,0,4,19,136,146,0,,,,
0.942501,915,0,0,8,0,0,0,0,0,0,0,0
0.948217,290,0,0,4,4,2,0,0,,,,
0.949181,562,0,0,8,255,69,0,255,0,0,0,0
