ID,Extended,RTR,Length,Data,Count,Timestamps
562,0,0,8,"255,64,0,255,0,0,0,0",79,"0.179642,0.379468,0.580158,0.780169,0.980392,1.379935,1.580258,1.780891,1.98013,2.17992,2.380256,2.580503,2.78095,2.980353,3.180356,3.380321,3.58044,3.780441,3.980314,4.18042,4.380344,4.581056,4.779451,4.979344,5.179329,5.379354,5.580956,5.779571,5.9804,6.17935,6.379322,6.580111,6.779748,6.979267,7.179237,7.379355,7.580153,7.779662,7.979235,8.179221,8.379261,8.579262,8.779248,8.979215,9.179221,9.379191,9.579238,9.779487,9.979186,10.179203,10.379211,10.579244,10.779929,10.979232,11.179243,11.37921,11.579225,11.779252,11.97918,12.179199,12.379169,12.579246,12.779455,12.979169,13.179189,13.379179,13.579169,13.779303,13.979259,14.179261,14.379203,14.579197,14.779216,14.9792,15.179192,15.379149,15.579181,15.779212,15.979217"
579,0,0,6,"0,0,0,0,0,0,,",16,"0.619455,1.619295,2.619391,3.619457,4.619472,5.619529,6.619413,7.619412,8.619391,9.619354,10.619489,11.619364,12.619413,13.619405,14.619375,15.619305"
584,0,0,8,"0,0,255,255,255,3,255,255",31,"0.088704,0.588794,1.58874,2.08878,2.588749,3.088669,3.589389,4.088756,4.588798,5.088986,5.588924,6.090252,6.588971,7.089527,7.588993,8.088918,8.589078,9.089137,9.589316,10.089454,10.589592,11.089673,11.588592,12.090442,12.588684,13.08854,13.588594,14.088545,14.589294,15.088501,15.588661"
590,0,0,8,"255,255,16,0,0,0,90,90",160,"0.048868,0.148785,0.248733,0.348711,0.44869,0.548803,0.648748,0.748765,0.849065,0.948738,1.048807,1.248811,1.348752,1.448745,1.548803,1.648707,1.74867,1.849094,1.948661,2.048722,2.148684,2.248685,2.348646,2.448683,2.548783,2.64991,2.748676,2.849334,2.948643,3.048712,3.148731,3.248738,3.348751,3.448652,3.548721,3.648742,3.748637,3.849597,3.948659,4.048705,4.148623,4.248741,4.348636,4.448813,4.548793,4.64886,4.748622,4.848967,4.948629,5.048957,5.149323,5.249072,5.348637,5.449045,5.54872,5.6491,5.748722,5.849215,5.948681,6.049209,6.148689,6.249288,6.348807,6.449376,6.548876,6.649465,6.748638,6.849524,6.948686,7.049482,7.14863,7.249531,7.348678,7.450443,7.548759,7.649533,7.748788,7.849005,7.948842,8.048862,8.148899,8.250725,8.348946,8.449352,8.548997,8.649012,8.749051,8.850955,8.949106,9.050898,9.149169,9.249239,9.349218,9.449197,9.549265,9.649248,9.749323,9.849199,9.949379,10.049411,10.14943,10.248611,10.349489,10.448555,10.549543,10.64959,10.749596,10.849224,10.949648,11.04963,11.149699,11.248663,11.3487,11.448676,11.548742,11.648629,11.748641,11.849245,11.948613,12.048689,12.148634,12.248655,12.349196,12.448625,12.548763,12.650888,12.748633,12.849262,12.948739,13.048799,13.14866,13.248682,13.348605,13.448585,13.548726,13.648594,13.748593,13.849282,13.948598,14.049525,14.148642,14.248583,14.348621,14.448668,14.548767,14.64891,14.748633,14.849278,14.948614,15.048691,15.148611,15.248588,15.348611,15.448637,15.548785,15.648653,15.748607,15.849295,15.948621,16.048602"
594,0,0,8,"3,0,16,15,128,15,127,139",94,"0.049826,0.249696,0.349674,0.649711,0.749723,0.850023,0.949701,1.049769,1.749636,1.850053,1.949619,2.049703,2.249646,2.449646,2.549741,2.650863,2.749634,2.850296,3.44961,3.6497,4.049664,4.149585,4.44977,4.74958,4.850906,5.049919,5.250031,5.349595,5.450004,5.549678,5.74968,5.949643,6.050168,6.149647,6.250246,6.349764,6.450334,6.749597,6.851406,7.050444,7.251361,7.349636,7.451401,7.651416,7.850941,8.251683,8.45123,8.650898,8.750009,9.051852,9.350203,9.451079,9.750281,9.85108,10.249574,10.350447,10.651466,10.851101,10.950607,11.051512,11.150662,11.250544,11.450554,11.75057,11.851127,11.950541,12.050566,12.351123,12.550693,12.652765,12.750558,12.851143,12.950669,13.050677,13.250559,13.450467,13.851163,14.051403,14.1496,14.249541,14.349579,14.449626,14.549725,14.650791,14.851156,14.949572,15.049649,15.149574,15.249546,15.349573,15.549747,15.649615,15.74957,15.949579"
594,0,0,8,"3,0,16,15,128,7,127,139",43,"0.449656,0.549777,1.249785,1.450693,1.549769,2.149651,2.349611,3.049682,3.249709,3.549694,3.749603,3.94963,4.349602,4.549759,4.649826,4.949594,5.651052,5.8511,6.650431,7.149596,7.749753,7.949807,8.349912,8.549962,8.852844,9.150139,9.651138,9.95035,10.051295,10.750563,11.350636,11.650519,12.15057,12.250544,12.45051,13.150596,13.350542,13.550662,13.750529,13.949564,14.749598,15.449607,16.049573"
594,0,0,8,"3,0,16,15,128,15,127,137",14,"1.349715,1.649665,3.149694,3.349709,3.850556,6.549834,6.949644,7.549717,8.050739,8.149857,9.251117,10.150388,11.55067,13.650471"
594,0,0,8,"3,0,16,15,128,7,127,137",8,"0.149756,2.949608,4.249708,5.150294,8.950072,9.550235,10.45044,10.550509"
594,0,0,8,"3,0,16,15,128,23,127,139",1,15.851177
628,0,0,8,"0,0,0,0,0,0,0,0",16,"0.537556,1.537517,2.537485,3.537457,4.53745,5.537385,6.537375,7.537329,8.537296,9.537285,10.537232,11.537203,12.537182,13.537136,14.53711,15.537122"
