ID,Extended,RTR,Length,Data,Count,Timestamps
590,0,0,8,"255,255,16,0,0,0,90,90",144,"0.004802,0.104816,0.204812,0.304836,0.405815,0.504922,0.604881,0.704877,0.804851,0.904808,1.004792,1.104827,1.204818,1.304867,1.404844,1.504813,1.604827,1.704828,1.804893,1.904837,2.004824,2.104809,2.204837,2.3049,2.404833,2.504815,2.604788,2.704888,2.804909,2.904855,3.004834,3.104831,3.204847,3.304877,3.404818,3.504818,3.604918,3.704942,3.804993,3.904839,4.004775,4.104791,4.204683,4.304802,4.404754,4.504776,4.604781,4.70471,4.80481,4.904759,5.004757,5.104739,5.204809,5.305249,5.404788,5.504773,5.605016,5.704712,5.804752,5.904755,6.004742,6.10477,6.204818,6.30483,6.404791,6.504785,6.604742,6.704771,6.804922,6.90484,7.004848,7.104868,7.204778,7.304785,7.404718,7.504759,7.604729,7.704795,7.804812,7.904817,8.004804,8.104761,8.204765,8.304892,8.405389,8.504763,8.604764,8.704751,8.804759,8.904733,9.00471,9.104731,9.204769,9.304741,9.404743,9.504711,9.604718,9.704742,9.804808,9.904796,10.004956,10.1049,10.204914,10.304973,10.404855,10.504768,10.604808,10.704809,10.804837,10.904799,11.004803,11.104783,11.204808,11.304816,11.404798,11.504791,11.604799,11.704789,11.804843,11.9048,12.004806,12.104802,12.204809,12.304862,12.404891,12.504798,12.604795,12.704819,12.804831,12.904784,13.004807,13.104791,13.20479,13.30497,13.404873,13.504853,13.604918,13.704755,13.80471,13.904712,14.004686,14.104638,14.204673,14.304713"
594,0,0,8,"3,0,16,13,128,15,127,139",85,"0.105777,0.205762,0.305789,0.505872,0.60583,0.905761,1.306684,1.405806,1.60578,1.805842,1.905787,2.005776,2.705842,3.105784,3.205797,3.30583,3.405768,3.506744,3.605873,3.705895,3.805945,4.005729,4.205636,4.305755,4.405704,4.505726,4.705659,4.805769,4.905709,5.005709,5.105689,5.306202,5.405738,5.905709,6.005692,6.205767,6.405744,6.605691,6.705721,6.905792,7.005798,7.105823,7.20574,7.305734,7.405672,8.005757,8.105714,8.20573,8.406338,8.505717,8.605713,8.805712,8.905683,9.005663,9.105684,9.205718,9.405705,9.505681,9.705692,9.805762,9.905749,10.305921,10.505722,10.705762,10.805791,11.005753,11.605748,11.705739,11.805796,12.005755,12.105755,12.205762,12.305815,12.405844,12.705773,12.80578,12.905737,13.10574,13.205739,13.305914,13.405822,13.505806,13.605867,14.205626,14.305663"
594,0,0,8,"3,0,16,13,128,7,127,139",41,"0.005752,0.406775,0.705839,0.805812,1.005777,1.205787,2.205794,2.305862,2.405794,2.60575,2.805866,2.905816,3.005796,4.105748,4.605743,5.205775,5.505734,5.605977,5.70567,6.105731,6.305795,6.505741,6.805883,7.505727,7.805773,7.905778,8.305853,8.705709,9.305703,10.005913,10.205874,10.605773,10.90576,11.205765,11.305777,11.905762,12.605757,13.005768,13.805672,13.905681,14.005655"
594,0,0,8,"3,0,16,13,128,15,127,137",12,"1.105796,1.50663,1.706643,2.105758,5.805701,9.60568,10.105849,10.405808,11.405752,11.505744,13.705705,14.105588"
594,0,0,8,"3,0,16,13,128,23,127,139",3,"2.505769,7.705748,12.505752"
594,0,0,8,"3,0,16,13,128,7,127,137",3,"3.905801,7.605687,11.105744"
628,0,0,8,"0,0,0,0,0,0,0,0",15,"0.286912,1.286853,2.286844,3.286852,4.286775,5.286745,6.286725,7.286682,8.286646,9.287383,10.286602,11.286547,12.286542,13.286495,14.286498"
672,0,0,6,"0,0,0,0,0,1,,",15,"0.27676,1.276741,2.276737,3.276674,4.276681,5.276605,6.276577,7.276565,8.276583,9.276488,10.27647,11.276444,12.277118,13.276439,14.276538"
690,0,0,8,"255,255,255,0,20,4,255,0",72,"0.064835,0.264847,0.464929,0.66486,0.86483,1.06483,1.264816,1.464851,1.664806,1.8648,2.064808,2.264804,2.464965,2.664863,2.86482,3.064819,3.264827,3.464871,3.664808,3.86481,4.06485,4.264808,4.464806,4.66481,4.864818,5.064901,5.264837,5.464793,5.664893,5.864751,6.064759,6.264776,6.464772,6.664725,6.864762,7.064753,7.264755,7.464781,7.66481,7.864834,8.064773,8.264768,8.464777,8.664765,8.864879,9.064753,9.264754,9.464759,9.664786,9.864786,10.064794,10.264818,10.464789,10.664734,10.864702,11.064729,11.26471,11.464728,11.664735,11.864732,12.064837,12.264833,12.464747,12.664703,12.865454,13.064704,13.264705,13.464741,13.664726,13.864724,14.064744,14.26571"
706,0,0,4,"19,136,146,0,,,,",37,"0.524533,1.72456,1.924488,2.524549,2.72458,2.924494,3.124486,3.324586,3.524493,3.724593,4.124466,4.524548,4.724561,5.124448,5.52445,5.724601,5.924466,6.524474,7.124465,7.524556,8.52444,8.724577,9.124425,9.524445,9.724474,9.92444,10.524414,10.724673,10.924526,11.124421,11.724528,12.124442,12.324576,13.124425,13.324569,13.52445,14.124482"
706,0,0,4,"19,136,147,0,,,,",34,"0.124473,0.324527,0.724602,0.924489,1.124586,1.324615,1.524477,2.124465,2.324631,3.9245,4.324568,4.924437,5.324556,6.124455,6.324574,6.724582,6.924461,7.324576,7.724711,7.92448,8.124493,8.32463,8.924435,9.324473,10.124455,10.324585,11.324563,11.524404,11.924462,12.52446,12.724504,12.924415,13.724519,13.924405"
706,0,0,4,"19,136,148,0,,,,",1,14.324436
707,0,0,8,"0,0,0,0,0,0,255,0",144,"0.014978,0.115032,0.21505,0.315781,0.415085,0.515073,0.615172,0.715195,0.815089,0.915118,1.014934,1.114945,1.214904,1.314983,1.414909,1.514939,1.615194,1.714953,1.814878,1.91492,2.014882,2.114909,2.214913,2.314981,2.414902,2.514964,2.615203,2.714972,2.814906,2.914935,3.014898,3.114935,3.214939,3.315003,3.414919,3.514962,3.615222,3.714972,3.81488,3.915044,4.015015,4.115074,4.215001,4.315072,4.415662,4.514949,4.615252,4.715107,4.814935,4.915003,5.014972,5.114986,5.214982,5.315144,5.414972,5.515027,5.615277,5.71499,5.814916,5.914955,6.014846,6.114887,6.214837,6.314955,6.414909,6.514931,6.615298,6.714912,6.814896,6.914891,7.014853,7.115035,7.21493,7.315081,7.414974,7.514869,7.61532,7.715564,7.814838,7.914875,8.014835,8.114847,8.214836,8.314952,8.414849,8.514873,8.615326,8.714875,8.814877,8.914897,9.014828,9.114891,9.214838,9.315042,9.414886,9.51508,9.615347,9.71497,9.815295,9.914923,10.014912,10.114944,10.214875,10.31512,10.415052,10.515054,10.61538,10.714972,10.814866,10.915143,11.014847,11.114838,11.21483,11.31514,11.414814,11.514885,11.615397,11.715348,11.814819,11.915234,12.014794,12.115266,12.214819,12.315341,12.414852,12.515389,12.615427,12.71485,12.814812,12.915272,13.014799,13.115621,13.214796,13.315506,13.414855,13.51538,13.615427,13.71497,13.815005,13.915871,14.014893,14.115795,14.214919,14.315894"
709,0,0,8,"1,91,1,29,5,0,0,0",8,"0.306755,2.306831,4.30672,6.306764,8.306819,10.30689,12.30678,14.306632"
710,0,0,8,"125,31,17,31,0,179,0,1",8,"0.325496,2.325592,4.32553,6.325535,8.325591,10.325541,12.325537,14.325915"
711,0,0,8,"1,0,0,0,0,0,0,0",8,"0.345884,2.345856,4.345779,6.345894,8.34599,10.345786,12.345734,14.345745"
720,0,0,6,"0,1,0,3,0,67,,",28,"0.429684,0.928477,1.430233,1.928553,2.429898,2.928822,3.430431,3.929123,4.430644,4.929745,5.431064,5.9298,6.431417,6.929916,7.431595,7.930184,8.432132,8.930456,9.431811,9.930882,10.432437,10.930997,11.432365,11.931269,12.432862,12.931702,13.433105,13.931814"
726,0,0,8,"0,0,0,0,0,0,0,0",72,"0.088411,0.28828,0.488333,0.688432,0.888441,1.088492,1.288684,1.488602,1.688651,1.889084,2.088769,2.288824,2.489044,2.68893,2.888979,3.089154,3.289088,3.489148,3.689225,3.889251,4.089309,4.289514,4.489419,4.690198,4.889631,5.08958,5.289636,5.48979,5.689743,5.890174,6.090135,6.28991,6.490217,6.690372,6.890071,7.090117,7.29018,7.490233,7.690577,7.890686,8.090393,8.290445,8.490684,8.690561,8.890612,9.090686,9.292345,9.490778,9.690839,9.890886,10.090939,10.291109,10.491042,10.691109,10.891178,11.091212,11.291267,11.491321,11.69138,11.891426,12.091627,12.291535,12.491593,12.691736,12.891698,13.091757,13.291808,13.491865,13.691916,13.892166,14.092021,14.292084"
727,0,0,8,"32,0,0,0,0,0,0,0",72,"0.049516,0.249573,0.449626,0.649682,0.849741,1.050026,1.250362,1.449904,1.650151,1.850014,2.050066,2.25019,2.450176,2.650233,2.850287,3.050341,3.250389,3.450739,3.650498,3.850556,4.050707,4.25067,4.450727,4.651138,4.850828,5.050888,5.25203,5.450995,5.65105,5.851289,6.05116,6.251826,6.451472,6.651327,6.85138,7.051519,7.253099,7.451542,7.651612,7.851651,8.052062,8.251921,8.45181,8.651871,8.85224,9.051976,9.252036,9.452289,9.652146,9.852195,10.052252,10.252309,10.452722,10.652775,10.852471,11.052523,11.252582,11.452642,11.652694,11.852744,12.052798,12.253201,12.45291,12.652968,12.853015,13.053188,13.253132,13.453181,13.653233,13.85329,14.053346,14.253407"
