ID,Extended,RTR,Length,Data,Count,Timestamps
590,0,0,8,"255,255,16,0,0,0,90,90",141,"0.065145,0.165094,0.265094,0.365112,0.465156,0.565137,0.665188,0.765068,0.86507,0.965067,1.065135,1.165051,1.265089,1.365209,1.46523,1.565264,1.665204,1.765069,1.865094,1.965068,2.065121,2.165063,2.265092,2.365053,2.465081,2.565107,2.666031,2.765073,2.86509,2.965064,3.065194,3.165099,3.265148,3.365122,3.465168,3.565208,3.665284,3.76517,3.865155,3.965113,4.065082,4.165047,4.265061,4.365047,4.465056,4.565207,4.666396,4.765125,4.86514,4.965047,5.065043,5.16505,5.265049,5.365031,5.465062,5.56505,5.665046,5.765047,5.865056,5.965046,6.065088,6.165051,6.265043,6.365037,6.465047,6.565051,6.666148,6.765029,6.865002,6.965061,7.065034,7.165001,7.265036,7.365011,7.465019,7.565017,7.665019,7.764994,7.865113,7.965109,8.065142,8.165015,8.265019,8.365037,8.465077,8.565134,8.666958,8.76509,8.865058,8.965015,9.065008,9.164989,9.264955,9.364992,9.464992,9.565029,9.665018,9.764983,9.865,9.964984,10.065007,10.164971,10.264959,10.364987,10.464989,10.565006,10.665186,10.764967,10.864967,10.964986,11.065049,11.165086,11.265053,11.364965,11.465015,11.564994,11.664995,11.764995,11.864972,11.965031,12.064988,12.164985,12.264961,12.364967,12.46498,12.565003,12.666047,12.765001,12.864978,12.96501,13.065027,13.165089,13.265071,13.365191,13.465117,13.565163,13.665123,13.765083,13.865051,13.965053,14.065011"
594,0,0,8,"3,0,16,13,128,15,127,139",84,"0.267037,0.467102,0.567009,0.667136,0.766939,0.966935,1.166004,1.267034,1.367081,1.866044,1.966034,2.166013,2.266069,2.667978,3.066143,3.366072,3.466121,3.566158,3.666234,3.766123,3.966063,4.165996,4.365996,4.766079,4.86609,4.965997,5.366,5.466015,5.666002,5.765997,5.966011,6.066041,6.265992,6.466002,6.667102,6.765983,6.865955,6.96601,7.065987,7.165951,7.265983,7.565967,7.665969,7.765947,8.066092,8.165968,8.265973,8.365986,8.46603,8.566081,8.667908,8.766039,8.866008,8.965969,9.065958,9.165939,9.465942,9.56599,9.665966,9.965934,10.065957,10.165924,10.365933,10.565955,10.76592,11.166036,11.266007,11.365915,11.565947,11.665949,11.765948,12.365916,12.465934,12.565953,12.667,12.765951,12.865932,12.965964,13.166042,13.366141,13.46607,13.566112,13.866004,14.065964"
594,0,0,8,"3,0,16,13,128,7,127,139",36,"0.366988,0.867024,1.067087,1.467179,1.766026,2.36601,2.466038,2.766034,2.866048,3.166061,3.266105,3.866116,4.066043,4.266011,4.466018,4.566165,4.668349,5.266006,5.566012,6.365998,7.365973,7.465976,9.26592,9.36595,9.765944,9.865968,10.666222,10.965946,11.465972,11.865929,11.965988,12.165943,12.265918,13.065988,13.766041,13.966014"
594,0,0,8,"3,0,16,13,128,15,127,137",12,"0.067088,2.566057,2.966025,5.166,5.86601,6.166004,6.566001,7.866067,10.465943,11.066002,12.065942,13.666076"
594,0,0,8,"3,0,16,13,128,7,127,137",6,"0.166974,1.667153,2.066083,5.066036,10.265921,13.266034"
594,0,0,8,"3,0,16,13,128,23,127,139",2,"7.966063,10.865917"
594,0,0,8,"3,0,16,13,128,23,127,137",1,1.567144
628,0,0,8,"0,0,0,0,0,0,0,0",14,"0.543682,1.543613,2.543581,3.543562,4.543522,5.543495,6.543476,7.543433,8.543391,9.543382,10.54334,11.543333,12.543293,13.543438"
672,0,0,6,"0,0,0,0,0,1,,",14,"0.533509,1.533516,2.53344,3.53342,4.533401,5.533359,6.533326,7.533309,8.533261,9.533233,10.533222,11.533165,12.533174,13.533966"
690,0,0,8,"255,255,255,0,20,4,255,0",71,"0.125102,0.325114,0.525092,0.725019,0.925019,1.125002,1.325029,1.525029,1.725023,1.925025,2.124972,2.325008,2.525007,2.725056,2.925031,3.124954,3.325155,3.525194,3.725072,3.925652,4.124978,4.325017,4.524946,4.724972,4.924945,5.124942,5.32498,5.524937,5.724946,5.924961,6.124952,6.324982,6.524933,6.725037,6.925582,7.124949,7.32496,7.524925,7.725515,7.924915,8.124935,8.325013,8.525007,8.725015,8.924952,9.124907,9.324901,9.524908,9.724911,9.924987,10.124905,10.324894,10.524886,10.724945,10.924874,11.124915,11.324888,11.524896,11.724971,11.924901,12.124856,12.324874,12.524878,12.724964,12.924919,13.125016,13.324973,13.524968,13.724924,13.924883,14.124862"
