ID,Extended,RTR,Length,Data,Count,Timestamps
590,0,0,8,"255,255,16,0,0,0,90,90",141,"0.002614,0.102631,0.202744,0.302636,0.402519,0.502478,0.602504,0.702588,0.802567,0.902513,1.002597,1.102466,1.202572,1.302485,1.402476,1.502481,1.602551,1.702564,1.802529,1.902475,2.002646,2.102564,2.20267,2.302544,2.403196,2.502446,2.602443,2.702523,2.802473,2.902427,3.00249,3.102501,3.20255,3.302498,3.402478,3.502449,3.602469,3.702543,3.802549,3.902634,4.002486,4.102859,4.202571,4.302801,4.403205,4.502437,4.602428,4.702599,4.80249,4.902768,5.002528,5.102677,5.202817,5.302644,5.402679,5.502607,5.602462,5.702867,5.802512,5.902652,6.002506,6.10331,6.202498,6.302993,6.402764,6.503055,6.602408,6.703216,6.802499,6.903101,7.002433,7.103238,7.202555,7.303037,7.402416,7.50341,7.602454,7.703438,7.802471,7.90243,8.002488,8.10339,8.202546,8.302485,8.403367,8.502502,8.602463,8.703639,8.802416,8.902378,9.002408,9.102404,9.202507,9.302565,9.402411,9.502396,9.602419,9.702544,9.802377,9.902445,10.002492,10.102538,10.202637,10.302457,10.403525,10.502435,10.602404,10.702479,10.802422,10.902435,11.002434,11.1024,11.202485,11.302436,11.402445,11.502382,11.602371,11.702563,11.802506,11.902445,12.002411,12.102365,12.202447,12.302408,12.402734,12.502373,12.602379,12.702449,12.802369,12.902373,13.002442,13.102361,13.20245,13.302384,13.402333,13.50235,13.602335,13.702433,13.802619,13.902347,14.002367"
594,0,0,8,"3,0,16,13,128,15,127,139",97,"0.103585,0.303598,0.403473,0.503438,0.703541,0.803517,0.903466,1.103415,1.303434,1.403429,1.503435,1.6035,1.803483,1.903424,2.003595,2.103517,2.404149,2.603397,2.903412,3.10345,3.203504,3.303451,3.403428,3.503399,3.603423,3.903587,4.003439,4.103813,4.203524,4.404159,4.503394,4.603381,4.703553,4.80344,5.003481,5.103625,5.303597,5.403628,5.50356,5.703821,5.803461,5.903605,6.003455,6.104263,6.203451,6.403718,6.504008,6.603357,6.704169,6.803449,6.904054,7.403369,7.50436,7.704392,7.80342,7.904372,8.003441,8.10434,8.203495,8.304427,8.503455,8.603413,8.704593,8.904324,9.003358,9.203456,9.304511,9.40336,9.603377,9.803327,9.903399,10.10448,10.204532,10.404478,10.504381,10.704425,10.903396,11.003391,11.30438,11.504329,11.603324,11.80346,12.00336,12.103315,12.204342,12.403688,12.703403,12.803318,12.903326,13.003396,13.103314,13.204341,13.503304,13.603285,13.703386,13.803572,14.003321"
594,0,0,8,"3,0,16,13,128,7,127,139",32,"0.003567,0.203705,0.603465,1.003559,1.203532,2.203627,2.303501,2.503423,2.70348,2.80343,3.00345,4.903725,5.603424,6.303951,7.203517,7.303998,7.603411,8.404329,8.803376,9.104357,9.503353,9.704494,10.00345,10.304411,11.204388,11.703521,11.903407,12.303369,12.503334,12.60334,13.303345,13.903308"
594,0,0,8,"3,0,16,13,128,7,127,137",6,"1.703533,3.803511,4.303758,5.203778,10.803395,13.40329"
594,0,0,8,"3,0,16,13,128,15,127,137",5,"3.703492,7.104191,10.60337,11.104346,11.40341"
594,0,0,8,"3,0,16,13,128,23,127,139",1,7.003383
628,0,0,8,"0,0,0,0,0,0,0,0",14,"0.282216,1.282216,2.282168,3.282134,4.282097,5.282079,6.282035,7.281998,8.282116,9.282392,10.281915,11.282155,12.281884,13.281819"
672,0,0,6,"0,0,0,0,0,1,,",14,"0.272095,1.272045,2.272053,3.272007,4.272822,5.271931,6.271917,7.271872,8.27184,9.271826,10.271781,11.271747,12.271734,13.271804"
690,0,0,8,"255,255,255,0,20,4,255,0",70,"0.062956,0.263209,0.462562,0.663426,0.862687,1.062595,1.26255,1.462598,1.663531,1.862508,2.06256,2.262548,2.462652,2.663181,2.862546,3.062798,3.262633,3.462798,3.662547,3.862566,4.062674,4.262942,4.463124,4.663612,4.863595,5.063597,5.262859,5.462805,5.662809,5.863014,6.063021,6.263005,6.462452,6.663142,6.863203,7.063344,7.263304,7.46355,7.663171,7.862465,8.062474,8.2624,8.4627,8.662388,8.862419,9.062411,9.262401,9.463175,9.662475,9.863123,10.064318,10.262432,10.462634,10.662548,10.862422,11.062418,11.262388,11.462563,11.662412,11.862403,12.062382,12.262348,12.462436,12.662352,12.862345,13.062376,13.262341,13.463026,13.662432,13.86243"
706,0,0,4,"19,136,147,0,,,,",44,"0.922142,1.32225,1.722129,1.922129,2.122097,2.322284,2.522106,2.722182,2.922186,3.522103,3.92209,4.122096,4.522084,4.722094,4.922124,5.12212,5.322194,5.522133,5.922298,6.122261,6.322261,6.522131,6.722143,6.922139,7.322324,7.522109,8.922079,9.322352,9.722115,10.12216,10.322125,10.722037,11.522005,11.72199,11.921998,12.122281,12.322248,12.522082,12.721999,12.921982,13.121983,13.322103,13.721984,13.92201"
706,0,0,4,"19,136,146,0,,,,",24,"0.122216,0.32225,0.522194,0.722203,1.122149,1.522131,3.32222,3.722115,4.322981,5.722209,7.122159,7.722155,7.922157,8.122116,8.322333,8.522099,8.722086,9.122202,9.522191,9.922132,10.522072,10.922076,11.122061,13.521966"
706,0,0,4,"19,136,145,0,,,,",1,3.122122
706,0,0,4,"19,136,148,0,,,,",1,11.322159
707,0,0,8,"0,0,0,0,0,0,255,0",141,"0.012525,0.112567,0.212544,0.312691,0.412636,0.512604,0.61259,0.712646,0.812674,0.912657,1.012626,1.112616,1.212618,1.31266,1.412506,1.512538,1.612487,1.712501,1.812523,1.912512,2.012471,2.112506,2.212538,2.312693,2.412608,2.512594,2.612569,2.712502,2.812505,2.9125,3.012473,3.112498,3.212492,3.312556,3.412486,3.512502,3.612467,3.712495,3.812475,3.912521,4.012461,4.112489,4.212506,4.312583,4.412506,4.512516,4.612508,4.712494,4.812534,4.912533,5.012487,5.11257,5.212567,5.312636,5.412516,5.512742,5.61259,5.712641,5.812645,5.912533,6.012481,6.1125,6.212441,6.31252,6.412445,6.512422,6.612396,6.712439,6.812416,6.912461,7.012424,7.112437,7.212458,7.312531,7.412775,7.512455,7.612417,7.712437,7.812423,7.912451,8.012398,8.112453,8.212447,8.312473,8.413062,8.512422,8.612365,8.712416,8.812526,8.912489,9.01247,9.112427,9.212392,9.312482,9.412407,9.512408,9.612454,9.712428,9.812477,9.912452,10.012553,10.112458,10.212643,10.312608,10.412645,10.512514,10.612677,10.712535,10.812731,10.912489,11.012781,11.112473,11.212836,11.312449,11.412962,11.512406,11.612971,11.712441,11.813064,11.912374,12.013137,12.112473,12.213135,12.312486,12.41317,12.512364,12.613226,12.712419,12.812344,12.912381,13.012328,13.11236,13.212376,13.312454,13.412333,13.51239,13.612341,13.712404,13.812372,13.912386,14.012319"
709,0,0,8,"1,91,1,29,5,0,0,0",7,"0.304563,2.30447,4.304727,6.30492,8.305392,10.305376,12.305327"
710,0,0,8,"125,31,17,31,0,179,0,1",7,"0.323211,2.323246,4.323938,6.323223,8.323294,10.323086,12.323205"
711,0,0,8,"1,0,0,0,0,0,0,0",7,"0.344463,2.343496,4.344081,6.344164,8.344411,10.34452,12.343377"
720,0,0,6,"0,1,0,3,0,67,,",28,"0.459102,0.95742,1.458889,1.957693,2.459301,2.957966,3.459302,3.958657,4.459915,4.958661,5.45987,5.958893,6.463273,6.959407,7.460668,7.959326,8.46174,8.959906,9.462214,9.959872,10.46157,10.960142,11.461605,11.960479,12.463257,12.960689,13.462068,13.961893"
726,0,0,8,"0,0,0,0,0,0,0,0",70,"0.117365,0.317514,0.517475,0.71753,0.91767,1.11763,1.317719,1.517858,1.717793,1.917848,2.117939,2.317956,2.518012,2.718281,2.918123,3.118177,3.318456,3.518286,3.718715,3.918472,4.118449,4.318503,4.518683,4.718614,4.91868,5.118735,5.318778,5.518831,5.718907,5.918937,6.119,6.3193,6.519098,6.719161,6.919214,7.119261,7.319546,7.519655,7.719429,7.919485,8.11963,8.319592,8.519652,8.719703,8.919754,9.119813,9.319866,9.521528,9.719972,9.920326,10.12008,10.320134,10.520347,10.720247,10.920296,11.120375,11.320408,11.520463,11.720758,11.920573,12.120633,12.320693,12.520732,12.720791,12.920844,13.120905,13.320954,13.521198,13.721058,13.921116"
727,0,0,8,"32,0,0,0,0,0,0,0",70,"0.078876,0.278937,0.478988,0.679259,0.879583,1.079149,1.279445,1.479261,1.679311,1.879683,2.079424,2.279475,2.47953,2.679583,2.879781,3.079788,3.27975,3.47981,3.679874,3.880583,4.079969,4.280338,4.480078,4.680129,4.88036,5.080245,5.280296,5.480457,5.680406,5.88076,6.080676,6.280571,6.480632,6.680902,6.880736,7.080792,7.280896,7.483339,7.680954,7.88119,8.081065,8.28112,8.481504,8.681225,8.881284,9.081574,9.281392,9.481821,9.681505,9.881559,10.081642,10.282908,10.481717,10.68178,10.881829,11.081884,11.283147,11.481996,11.682052,11.882131,12.082188,12.282875,12.482271,12.682459,12.882376,13.082435,13.282811,13.48336,13.682604,13.883386"
729,0,0,8,"0,0,0,108,0,0,0,0",350,"0.027339,0.067355,0.107365,0.147389,0.187388,0.227396,0.267408,0.30742,0.34743,0.387986,0.427449,0.467467,0.507471,0.547487,0.587498,0.627502,0.667532,0.707523,0.747536,0.787549,0.827563,0.867569,0.907586,0.947591,0.98761,1.027613,1.067628,1.107638,1.147651,1.187662,1.22767,1.26768,1.30769,1.347701,1.388255,1.427726,1.46773,1.507747,1.547752,1.587767,1.627778,1.667785,1.707811,1.747809,1.787821,1.827833,1.869309,1.907857,1.94786,1.987874,2.027884,2.067895,2.107906,2.147923,2.187931,2.22795,2.267954,2.307966,2.347976,2.388096,2.427999,2.468009,2.508021,2.548025,2.588037,2.628049,2.668061,2.708072,2.748084,2.788096,2.828101,2.868113,2.908125,2.948137,2.988148,3.028159,3.068164,3.108177,3.148192,3.188197,3.228213,3.268224,3.308235,3.348245,3.389216,3.428265,3.468277,3.508288,3.5483,3.58831,3.628323,3.668332,3.708339,3.748361,3.788366,3.828381,3.868388,3.909634,3.94841,3.98842,4.028431,4.068442,4.10845,4.148462,4.188479,4.228481,4.268508,4.308502,4.348518,4.389105,4.428543,4.468552,4.508565,4.548567,4.588582,4.628597,4.6686,4.708617,4.748628,4.788647,4.828647,4.868659,4.908676,4.94868,4.98869,5.028701,5.068709,5.108721,5.149326,5.188748,5.22876,5.268769,5.308787,5.348792,5.390576,5.428811,5.46882,5.50883,5.548844,5.588857,5.628864,5.668873,5.709155,5.748902,5.789723,5.828933,5.868935,5.908941,5.950188,5.988963,6.028979,6.068988,6.109,6.149002,6.189021,6.229031,6.269038,6.309049,6.349068,6.389426,6.429086,6.469096,6.509188,6.549119,6.589131,6.629141,6.669148,6.709159,6.749172,6.789185,6.82919,6.86921,6.909216,6.949224,6.989234,7.029246,7.069257,7.109271,7.149279,7.189292,7.229301,7.269312,7.309326,7.349333,7.389811,7.429353,7.469364,7.509375,7.549388,7.589395,7.62941,7.669417,7.709428,7.749444,7.789455,7.829467,7.869481,7.909483,7.949494,7.990741,8.029518,8.069529,8.109542,8.149552,8.189561,8.229574,8.269585,8.309594,8.349603,8.389897,8.429626,8.469635,8.509645,8.549657,8.589674,8.629683,8.669694,8.709706,8.749717,8.789723,8.829734,8.869748,8.909771,8.949772,8.989778,9.029789,9.069801,9.109812,9.149823,9.189833,9.229845,9.269856,9.30987,9.34988,9.390747,9.429907,9.469909,9.51002,9.549934,9.589943,9.629952,9.669962,9.709974,9.749986,9.790834,9.830016,9.870018,9.910029,9.950047,9.990053,10.031353,10.070075,10.110082,10.150094,10.190111,10.230119,10.270124,10.310137,10.350145,10.391034,10.43017,10.47019,10.510194,10.550205,10.590214,10.630808,10.670235,10.710247,10.750257,10.790269,10.83028,10.870294,10.910298,10.950309,10.990328,11.030604,11.070349,11.11036,11.150365,11.190375,11.230395,11.270404,11.31041,11.350422,11.39068,11.430439,11.470787,11.510474,11.550475,11.590487,11.630496,11.670508,11.71052,11.750528,11.790538,11.83055,11.870561,11.910575,11.950583,11.990594,12.030616,12.071855,12.110634,12.15064,12.190649,12.230668,12.270674,12.310759,12.350689,12.391176,12.430711,12.470729,12.510739,12.550746,12.590756,12.63077,12.670781,12.710794,12.750808,12.790809,12.830824,12.870833,12.910846,12.950858,12.990868,13.03088,13.070886,13.110896,13.15091,13.190921,13.230933,13.270941,13.310951,13.350964,13.391997,13.430982,13.471002,13.511005,13.551027,13.591031,13.631041,13.671052,13.711069,13.751073,13.791082,13.831097,13.87111,13.911115,13.951125,13.991692"
735,0,0,8,"132,0,0,0,0,0,0,0",14,"0.615265,1.615295,2.615298,3.615318,4.615349,5.615382,6.615405,7.615426,8.615426,9.615447,10.615488,11.615508,12.615537,13.615541"
736,0,0,8,"64,192,0,255,89,94,97,94",41,"0.042967,0.843459,1.042449,2.242422,2.442453,2.642384,3.042365,3.242394,3.442551,3.642371,3.84338,4.042386,4.843358,5.042375,5.242436,5.4424,5.642412,6.242343,6.843471,7.042343,7.242331,7.442361,7.642335,8.042349,8.44234,8.642324,8.8433,9.442329,9.642277,10.0424,10.242354,10.843328,11.242334,11.64228,11.843309,12.242286,12.642267,12.843267,13.242353,13.4423,13.642265"
736,0,0,8,"64,192,0,255,89,93,97,94",25,"0.242587,0.442473,0.642445,1.242407,1.442441,1.642404,1.843369,2.042443,4.242375,4.442428,4.642378,5.844002,6.042398,6.442341,7.843297,8.242314,9.042282,9.2423,9.843395,10.442458,10.642408,11.442312,12.442324,13.042367,13.84325"
736,0,0,8,"64,192,0,255,89,94,98,94",3,"2.84397,6.642428,12.04228"
736,0,0,8,"64,192,0,255,89,93,98,94",1,11.042342
738,0,0,4,"0,0,0,0,,,,",14,"0.364396,1.364507,2.364644,3.363772,4.364747,5.364149,6.364697,7.363896,8.364999,9.36394,10.364416,11.363994,12.364846,13.364048"
752,0,0,2,"1,0,,,,,,",28,"0.042038,0.543229,1.044318,1.545428,2.046563,2.548553,3.048821,3.549968,4.05111,4.552196,5.053322,5.554484,6.055573,6.556734,7.057786,7.558974,8.06012,8.561491,9.062936,9.563443,10.064844,10.565678,11.066839,11.568012,12.069093,12.570606,13.071439,13.572809"
754,0,0,3,"0,0,0,,,,,",14,"0.504045,1.504042,2.504027,3.504007,4.504045,5.504305,6.504631,7.504967,8.506045,9.505339,10.505562,11.505825,12.506078,13.506327"
755,0,0,8,"0,0,0,0,0,0,0,0",14,"0.379933,1.380196,2.380033,3.380153,4.380036,5.379939,6.380443,7.380028,8.380157,9.380132,10.381243,11.380863,12.38046,13.380231"
