ID,Extended,RTR,Length,Data,Count,Timestamps
584,0,0,8,"0,0,255,255,255,3,255,255",29,"0.436081,0.93602,1.435977,1.936153,2.436035,2.935992,3.435983,3.936009,4.435946,4.935962,5.435948,5.935942,6.435852,6.93586,7.435835,7.935927,8.435952,8.935819,9.435821,9.935933,10.435838,10.9358,11.435808,11.936487,12.435751,12.935768,13.435742,13.935815,14.435815"
590,0,0,8,"255,255,16,0,0,0,90,90",148,"0.095915,0.195932,0.295926,0.396003,0.49597,0.596083,0.696086,0.796111,0.895993,1.001728,1.095943,1.19597,1.295917,1.396326,1.495938,1.595926,1.695964,1.795958,1.896049,2.000652,2.095942,2.195932,2.295938,2.39598,2.495949,2.595977,2.695972,2.795958,2.89603,3.000641,3.095958,3.195952,3.295905,3.395956,3.496738,3.595905,3.695893,3.795985,3.896062,3.999818,4.096544,4.1959,4.295883,4.39591,4.496334,4.596201,4.695997,4.795984,4.89596,4.999762,5.095989,5.196017,5.295987,5.396025,5.496076,5.596036,5.696029,5.796005,5.896014,6.000707,6.096001,6.195978,6.295945,6.395982,6.495982,6.595928,6.695976,6.795937,6.895948,6.996173,7.096026,7.196047,7.29596,7.395966,7.495983,7.595932,7.695939,7.79594,7.895994,8.000741,8.09595,8.195974,8.295977,8.395973,8.495975,8.595982,8.695962,8.795968,8.895932,8.996023,9.095937,9.195935,9.295945,9.395953,9.495922,9.595938,9.695983,9.795938,9.896004,9.999824,10.095975,10.195987,10.296037,10.396602,10.496033,10.59586,10.695904,10.795885,10.895881,10.996217,11.095838,11.195848,11.295854,11.395846,11.49585,11.595848,11.695867,11.795821,11.895858,11.999729,12.09583,12.195875,12.295833,12.395884,12.495856,12.595813,12.696286,12.79578,12.895838,12.995935,13.095805,13.195783,13.295757,13.395849,13.495806,13.595888,13.695897,13.795939,13.89582,13.999819,14.095827,14.19584,14.295882,14.395856,14.49586,14.595854,14.69585,14.795897"
594,0,0,8,"3,0,16,13,128,15,127,139",101,"0.001664,0.196885,0.397493,0.496931,0.597037,0.697036,0.897484,1.003658,1.196919,1.397275,1.596883,1.696922,1.796911,1.897002,2.096895,2.296892,2.396934,2.497872,2.597769,2.796908,2.896984,3.097747,3.196901,3.498676,3.597699,3.796938,3.897015,4.097502,4.196853,4.296837,4.497287,4.796935,4.896909,5.001616,5.196971,5.29694,5.59699,5.696978,5.796957,5.896968,6.096951,6.296894,6.696965,6.896896,6.997884,7.09698,7.296913,7.39692,7.496936,7.596885,7.796889,8.002667,8.096904,8.196923,8.496928,8.696911,8.796922,8.896882,8.997902,9.096894,9.296898,9.396903,9.496875,9.696932,9.79689,10.00168,10.096928,10.19694,10.296986,10.397555,10.496982,10.596813,10.696857,10.796838,10.896834,10.997923,11.396796,11.496799,11.596797,11.696817,11.896811,12.096791,12.496809,12.596767,12.697236,12.79673,12.997822,13.096758,13.196737,13.396802,13.596837,13.696851,13.796888,13.896778,14.001671,14.196789,14.296835,14.39681,14.596807,14.696804,14.796855"
594,0,0,8,"3,0,16,13,128,7,127,139",25,"0.296883,0.797068,1.096901,2.196894,3.002575,3.296862,3.696862,4.001681,4.597162,4.696959,5.096946,5.396986,5.497049,6.596889,6.796895,8.396934,8.59694,9.196897,11.196806,11.296815,12.196833,12.296798,12.396846,12.896795,13.296781"
594,0,0,8,"3,0,16,13,128,15,127,137",13,"0.096864,1.497864,2.002579,2.696925,6.002633,6.196931,6.396931,7.896943,9.596892,9.896955,11.096792,11.796782,13.49676"
594,0,0,8,"3,0,16,13,128,7,127,137",7,"1.296875,3.396925,4.396867,7.197004,7.696896,8.296935,14.496821"
594,0,0,8,"3,0,16,13,128,23,127,139",3,"6.496931,12.001586,14.096777"
628,0,0,8,"0,0,0,0,0,0,0,0",14,"0.870727,1.870713,2.870673,3.870675,4.871006,5.871214,6.870549,7.870534,8.870522,9.870454,10.870597,11.870884,12.8712,13.870357"
672,0,0,6,"0,0,0,0,0,1,,",14,"0.860593,1.860559,2.860556,3.860502,4.860469,5.860458,6.860414,7.86038,8.860369,9.860352,10.860296,11.860278,12.860233,13.860212"
690,0,0,8,"255,255,255,0,20,4,255,0",74,"0.055903,0.255936,0.455928,0.655925,0.855897,1.055865,1.255864,1.455855,1.655807,1.855884,2.05593,2.255872,2.455879,2.655989,2.855884,3.055911,3.255842,3.455836,3.655875,3.855864,4.05585,4.255858,4.45583,4.655869,4.855856,5.055846,5.255847,5.455907,5.655879,5.85594,6.055854,6.25582,6.455836,6.655859,6.855798,7.055844,7.255815,7.455805,7.655799,7.855828,8.055785,8.255795,8.455821,8.655829,8.855795,9.055923,9.255878,9.455827,9.655909,9.855876,10.05594,10.25594,10.455924,10.655885,10.855862,11.05585,11.255848,11.455846,11.655836,11.855807,12.05586,12.255971,12.455911,12.655847,12.855852,13.055846,13.255833,13.455803,13.655793,13.85584,14.055873,14.255885,14.455882,14.655882"
